id;Country;Name;Sector;;
;Spain;CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL;Credit lines;;
;;CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL;Credit lines;;
;France;CASA - SOUTIEN ZONES MEDICALES EN TENSION;Credit lines;;
;France;CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL;Credit lines;;
;France;CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL;Credit lines;;
;Ireland;UCD CAMPUS DEVELOPMENT;Education;;
;Italy;VENETO WATER UTILITIES ABS;Water, sewerage;;
;France;CDC LOGEMENT SOCIAL MBIL;Credit lines;;
;France;CDC SECTEUR PUBLIC MBIL;Credit lines;;
;Ukraine;UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME;Energy;;
;Ukraine;UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME;Solid waste;;
;Ukraine;UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME;Urban development;;
;Ukraine;UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME;Water, sewerage;;
;Italy;IREN GREEN ENERGY LOAN;Energy;;
;Hungary;SGEF HU COVID19 RESPONSE FOR SMES AND MIDCAPS;Credit lines;;
;Tunisia;APPUI AU SECTEUR DE L EAU POTABLE;Water, sewerage;;
;Tunisia;APPUI AU SECTEUR DE L EAU POTABLE;Water, sewerage;;
;Poland;KRAKOW TRAMWAY III;Transport;;
;Serbia;EBS COVID19 CRISIS RESPONSE FOR SMES&MIDCAPS;Credit lines;;
;Spain;BASQUE COUNTRY LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Spain;ULMA RDI & CONVERGENCE;Industry;;
;Germany;IMM-X (IDFF);Services;;
;Spain;MINORYX (EGFF);Health;;
;Burkina Faso;ATI MEMBERSHIP CONTRIBUTION BURKINA FASO;Services;;
;Germany;ATRIVA (IDFF);Services;;
;Italy;PIAGGIO RDI VEHICLE IMPROVEMENTS;Industry;;
;Spain;PROSOL AGROFOOD AND RDI INVESTMENTS;Industry;;
;Spain;MINORYX (EGFF);Health;;
;Poland;WIELKOPOLSKIE ONSHORE WIND;Energy;;
;Czech Republic;SOUTH-MORAVIA REGIONAL ROLLING STOCK;Transport;;
;;EIB LIQUIDITY LINE TO THE MS FOR CASH ADVANCE;Credit lines;;
;Sweden;ONCOPEPTIDES (EGFF);Services;;
;Greece;GREECE COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;Poland;UPPER SILESIA URBAN FRAMEWORK PROGRAMME;Water, sewerage;;
;Poland;UPPER SILESIA URBAN FRAMEWORK PROGRAMME;Services;;
;Spain;ZERO-E SOLAR PV;Energy;;
;Sweden;ONCOPEPTIDES (EGFF);Services;;
;Poland;UPPER SILESIA URBAN FRAMEWORK PROGRAMME;Industry;;
;Poland;UPPER SILESIA URBAN FRAMEWORK PROGRAMME;Transport;;
;Poland;UPPER SILESIA URBAN FRAMEWORK PROGRAMME;Urban development;;
;Spain;SOLARIA PV PLANTS;Energy;;
;Spain;PSA ESP COVID19 LOAN FOR SMES & MIDCAPS;Credit lines;;
;Spain;PSA ESP COVID19 LOAN FOR SMES & MIDCAPS;Credit lines;;
;Benin;ATI MEMBERSHIP CONTRIBUTION BENIN;Services;;
;Austria;HIRSCHMANN AUTO TECH SOLUTIONS;Industry;;
;Spain;PSA ESP COVID19 LOAN FOR SMES & MIDCAPS;Credit lines;;
;Croatia;HPB LOAN FOR SMES MIDCAPS AND OTHER PRIORITIES;Credit lines;;
;South Africa;DBSA CLIMATE ACTION FACILITY;Credit lines;;
;Romania;UCB RO COVID19 RESPONSE FOR SMES AND MIDCAPS;Credit lines;;
;Poland;KRAKOW INTELLIGENT AND SUSTAINABLE DEVELOPMENT;Urban development;;
;Poland;KRAKOW INTELLIGENT AND SUSTAINABLE DEVELOPMENT;Industry;;
;Poland;KRAKOW INTELLIGENT AND SUSTAINABLE DEVELOPMENT;Transport;;
;Spain;NAVARRA COVID-19 RESPONSE;Health;;
;Madagascar;JIRAMA WATER III - PRIORITAIRE;Water, sewerage;;
;Sweden;NEW SLUSSEN STOCKHOLM;Transport;;
;Italy;REGIONE LAZIO EU BLENDING PROGRAMME;Urban development;;
;Italy;REGIONE LAZIO EU BLENDING PROGRAMME;Credit lines;;
;Austria;WIENER WOHNEN REVITALISIERUNG;Urban development;;
;Ukraine;UKRAINE PUBLIC BUILDINGS ENERGY EFFICIENCY;Urban development;;
;Ukraine;UKRPOSHTA MODERNISATION AND DIGITALISATION;Services;;
;Denmark;GETINGE MEDICAL TECHNOLOGY RDI;Industry;;
;France;LYCEES GUADELOUPE;Education;;
;Kenya;LV WATSAN - KISUMU;Water, sewerage;;
;Germany;GETINGE MEDICAL TECHNOLOGY RDI;Industry;;
